rank,domain,ai_legibility_score,band,platform,is_ecommerce,scanned_on,methodology_version
60,capezio.com,59.1,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
61,experian.com,58.9,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
62,formula1.com,58.8,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
63,orlebarbrown.com,58.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
64,scientificamerican.com,58.8,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
65,bbc.com,58.5,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
66,aclu.org,58.4,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
67,brookings.edu,58.4,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
68,doctorcareanywhere.com,58.4,Developing,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
69,gov.uk,58.4,Developing,custom,false,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
70,health.harvard.edu,58.4,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
71,atlassian.com,58.3,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
72,huel.com,58.3,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
73,investwithroots.com,58.3,Developing,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
74,kpmg.com,58.3,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
75,vogue.com,58.3,Developing,custom,true,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
76,travismathew.com,58.2,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
77,cultureamp.com,58.1,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
78,hubspot.com,58.1,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
79,gymshark.com,58.0,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
80,workhuman.com,58.0,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
81,elle.com,57.9,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
82,worldwildlife.org,57.9,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
83,ohpolly.com,57.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
84,architecturaldigest.com,57.7,Developing,custom,true,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
85,urban.org,57.7,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
86,aloyoga.com,57.6,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
87,blog.google,57.6,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
88,monicaandandy.com,57.6,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
89,whowhatwear.com,57.6,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
90,wri.org,57.6,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
91,bcg.com,57.5,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
92,capgemini.com,57.4,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
93,liberator.com,57.4,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
94,representclo.com,57.4,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
95,tonies.com,57.2,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
96,amplitude.com,57.0,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
97,judithleiber.com,57.0,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
98,rand.org,57.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
99,townandcountrymag.com,57.0,Developing,react-spa,true,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
100,cloudflare.com,56.8,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
101,simbasleep.com,56.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
102,berlinpackaging.com,56.6,Developing,bigcommerce,true,2026-06-27,aivs-1.0-aeo20260620-full-evid20260621
103,cfr.org,56.6,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
104,cosanostraa.com,56.6,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
105,culturesforhealth.com,56.6,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
106,ugglyandco.com,56.5,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
107,marketingbrew.com,56.4,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
108,one.org,56.3,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
109,rainforest-alliance.org,56.3,Developing,wordpress,true,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
110,edf.org,56.2,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
111,socialmediaexaminer.com,56.2,Developing,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
112,atkins.com,56.0,Developing,react-spa,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
113,betterup.com,56.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
114,donnakaran.com,55.9,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
115,gatesfoundation.org,55.8,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
116,patchmypc.com,55.8,Developing,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
117,scotusblog.com,55.8,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
118,sothebys.com,55.7,Developing,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
119,darkreading.com,55.6,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
120,harvard.edu,55.6,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
121,ohpolly.ae,55.6,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
122,bathroomsalesdirect.com.au,55.5,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
123,contentmarketinginstitute.com,55.4,Developing,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
124,chicagomusicexchange.com,55.1,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
125,boden.com,55.0,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
126,clintonfoundation.org,55.0,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
127,gant.com,55.0,Developing,custom,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
128,kottke.org,55.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
129,woodencamera.com,55.0,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
130,cancer.org,54.9,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
131,theporchswingcompany.com,54.9,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
132,eji.org,54.8,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
133,rockefellerfoundation.org,54.8,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
134,shop.mercedesamgf1.com,54.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
135,slack.com,54.8,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
136,statista.com,54.8,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
137,promixnutrition.com,54.7,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
138,digiday.com,54.6,Developing,wordpress,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
139,greenpeople.co.uk,54.6,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
140,code.org,54.5,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
141,rodeohouston.com,54.5,Developing,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
142,shop.lifefitness.com,54.5,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
143,frog.co,54.4,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
144,nature.com,54.4,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
145,bain.com,54.1,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
146,ai.meta.com,54.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
147,ceb.com,54.0,Developing,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
148,csis.org,54.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
149,fenwick.co.uk,54.0,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
150,eshop.resmed.com,53.9,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
151,aroma360.com,53.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
152,bearmattress.com,53.8,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
153,doctorswithoutborders.org,53.8,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
154,josephjoseph.com,53.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
155,getty.edu,53.6,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
156,nascar.com,53.6,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
157,united-states-flag.com,53.6,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
158,viavision.com.au,53.6,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
159,harpersbazaar.com,53.5,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
160,stanford.edu,53.5,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
161,eddiebauer.com,53.4,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
162,npr.org,53.4,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
163,toysrus.com,53.3,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
164,apnews.com,53.1,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
165,docker.com,53.1,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
166,lennysnewsletter.com,53.1,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
167,madvikingbeard.com,53.1,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
168,bigberthaoriginal.com,53.0,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
169,rachelriley.co.uk,53.0,Developing,shopify,true,2026-06-22,aivs-1.0-aeo20260620-full-evid20260621
170,archdaily.com,52.9,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
171,boingboing.net,52.9,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
172,cobra.com,52.9,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
173,copyblogger.com,52.9,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
174,giftshop.redcross.org.uk,52.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
175,miola.co.uk,52.7,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
176,ama.org,52.6,Developing,woocommerce,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
177,bellicon.com,52.6,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
178,marginalrevolution.com,52.6,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
179,openai.com,52.5,Developing,webflow,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
180,alphabetbags.com,52.4,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
181,iab.com,52.4,Developing,woocommerce,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
182,margarethowell.co.uk,52.4,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
183,radley.co.uk,52.4,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
184,twloha.com,52.4,Developing,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
185,crockettandjones.com,52.3,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
186,40rty.ai,52.2,Developing,react-spa,true,2026-08-12,aivs-1.0-aeo20260620-full-evid20260621
187,cratejoy.com,52.2,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
188,store.pirelli.com,52.2,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
189,cardosystems.com,52.1,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
190,ahrefs.com,52.0,Developing,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
191,blog.workday.com,52.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
192,frontiersin.org,52.0,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
193,moon-audio.com,52.0,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
194,siksilk.com,51.9,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
195,asana.com,51.8,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
196,decorsteals.com,51.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
197,fordfoundation.org,51.8,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
198,merckmanuals.com,51.8,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
199,vectorinstitute.ai,51.7,Developing,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
200,kiddiesco.com,51.6,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
201,cipd.org,51.5,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
202,glamour.com,51.5,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
203,nfl.com,51.5,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
204,edutopia.org,51.4,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
205,moroccanoil.com,51.4,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
206,nam.org,51.4,Developing,wordpress,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
207,anthropic.com,51.3,Developing,webflow,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
208,harpercollins.co.uk,51.3,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
209,cam.ac.uk,51.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
210,diamonds.hallmark.com,51.0,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
211,izmi.co.uk,51.0,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
212,mixpanel.com,51.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
213,wmagazine.com,51.0,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
214,worldcat.org,51.0,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
215,drinklmnt.com,50.9,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
216,staffuniforms.co.uk,50.9,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
217,anyahindmarch.jp,50.8,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
218,greenhouse.com,50.8,Developing,webflow,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
219,paiskincare.com,50.8,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
220,adweek.com,50.6,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
221,designboom.com,50.6,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
222,dmns.org,50.6,Developing,custom,false,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
223,lyleandscott.com,50.6,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
224,notion.com,50.5,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
225,triquetrahealth.com,50.5,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
226,brownsfashion.com,50.4,Developing,shopify,true,2026-07-13,aivs-1.0-aeo20260620-full-evid20260621
227,offordandsons.co.uk,50.4,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
228,pbs.org,50.4,Developing,react-spa,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
229,accenture.com,50.3,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
230,assots.co.uk,50.3,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
231,cbinsights.com,50.2,Developing,wordpress,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
232,datawrapper.de,50.2,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
233,gallup.com,50.2,Developing,custom,false,2026-07-12,aivs-1.0-aeo20260620-full-evid20260621
234,llloves.co.uk,50.2,Developing,shopify,true,2026-06-28,aivs-1.0-aeo20260620-full-evid20260621
